assay,run_id,well,sample,sample_type,well_nn_ch1,well_nn_ch2,n_nn,reference_nn_ch1,reference_nn_ch2,shift_ch1,shift_ch2
P102L,2021-01-28_SNV_P102L,B03,WT,WT_control,679.1503190000001,895.5763999999999,1894,674.992859,910.1928,-4.157460000000128,14.616400000000112
P102L,2021-01-28_SNV_P102L,C03,P102L-mut,positive_control,679.4029,904.1587,8203,674.992859,910.1928,-4.410041000000092,6.03410000000008
P102L,2021-02-02_SNV_P102L,A01,NTC,NTC,666.1250285,890.247228,15054,674.992859,910.1928,8.867830499999968,19.945572000000084
P102L,2021-02-02_SNV_P102L,B01,WT,WT_control,686.707326,940.980408,2066,674.992859,910.1928,-11.714467000000013,-30.787607999999977
P102L,2021-02-02_SNV_P102L,C01,P102L-mut,positive_control,673.7682,923.538635,6453,674.992859,910.1928,1.2246589999999742,-13.345834999999965
P102L,2021-02-17_SNV_P102L,A03,NTC,NTC,747.695557,949.364441,14629,674.992859,910.1928,-72.70269800000005,-39.17164100000002
P102L,2021-02-17_SNV_P102L,A09,P102L-mut,positive_control,693.8364225,961.2318419999999,9126,674.992859,910.1928,-18.843563500000073,-51.03904199999988
P102L,2021-02-17_SNV_P102L,B03,WT,WT_control,718.8305310000001,1008.6963499999999,194,674.992859,910.1928,-43.83767200000011,-98.5035499999999
P102L,2021-02-18_SNV_P102L,A03,NTC,NTC,662.19415,893.7861720000001,13606,674.992859,910.1928,12.798708999999917,16.406627999999955
P102L,2021-02-18_SNV_P102L,A06,P102L-mut,positive_control,437.967957,523.57666,7429,674.992859,910.1928,237.02490199999994,386.6161400000001
P102L,2021-02-18_SNV_P102L,B03,WT,WT_control,702.4739,961.2885,5501,674.992859,910.1928,-27.481041000000005,-51.095699999999965
P102L,2021-03-05_SNV_P102L,A03,NTC,NTC,707.2737815,826.57365,13110,674.992859,910.1928,-32.28092250000009,83.61914999999999
P102L,2021-03-05_SNV_P102L,B03,WT,WT_control,725.6332,862.2906,3859,674.992859,910.1928,-50.640341000000035,47.90219999999999
P102L,2021-03-05_SNV_P102L,C03,P102L-mut,positive_control,654.37075,814.5816335,6398,674.992859,910.1928,20.62210899999991,95.61116650000008
P102L,2021-03-29_SNV_P102L,A03,NTC,NTC,593.6043159999999,900.4092275,14704,674.992859,910.1928,81.38854300000003,9.783572499999991
P102L,2021-03-29_SNV_P102L,B03,WT,WT_control,596.123169,909.5842,4265,674.992859,910.1928,78.86968999999999,0.608600000000024
P102L,2021-03-29_SNV_P102L,C03,P102L,positive_control,612.4742,975.6493224999999,4706,674.992859,910.1928,62.51865899999996,-65.45652249999989
P102L,2021-04-06_SNV_P102L,A03,NTC,NTC,684.342041,929.629761,14341,674.992859,910.1928,-9.349182000000042,-19.436960999999997
P102L,2021-04-06_SNV_P102L,B03,WT,WT_control,699.9519,957.1028,3281,674.992859,910.1928,-24.95904100000007,-46.90999999999997
P102L,2021-04-06_SNV_P102L,C03,P102L,positive_control,671.504639,935.6201,1759,674.992859,910.1928,3.4882199999999557,-25.427299999999946
P102L,2021-05-10_SNV_P102L,A03,NTC,NTC,708.92605,986.9675305000001,14474,674.992859,910.1928,-33.93319100000008,-76.77473050000003
P102L,2021-05-10_SNV_P102L,B03,WT,WT_control,745.201724,1048.1928699999999,3712,674.992859,910.1928,-70.20886500000006,-138.00006999999982
P102L,2021-05-10_SNV_P102L,C03,P102L,positive_control,716.601769,1016.6162400000001,1590,674.992859,910.1928,-41.60891000000004,-106.42344000000003
P102L,2021-05-20_SNV_P102L,A03,NTC,NTC,713.775,1043.3551,16673,674.992859,910.1928,-38.782141000000024,-133.16229999999996
P102L,2021-05-20_SNV_P102L,B03,WT,WT_control,739.9144,1088.71521,6225,674.992859,910.1928,-64.92154100000005,-178.52241000000004
P102L,2021-05-20_SNV_P102L,C03,P102L,positive_control,752.0093999999999,1104.2256499999999,2310,674.992859,910.1928,-77.01654099999996,-194.03284999999983
P102L,2021-10-14_SNV_P102L,A03,NTC,NTC,472.05603,864.7055,13593,674.992859,910.1928,202.93682899999993,45.487300000000005
P102L,2021-10-14_SNV_P102L,B03,WT,WT_control,480.968212,876.7797545000001,3244,674.992859,910.1928,194.02464699999996,33.41304549999995
P102L,2021-10-14_SNV_P102L,C03,P102L-mut,positive_control,475.141022,876.9286,1391,674.992859,910.1928,199.85183699999993,33.26420000000007
