run_id,run_date,assay,lod_merged_well,physical_well,sample,lod_fraction,accepted_droplets,positives,negatives,fractional_abundance,source_layout,source_analysis_csv,archive_contents_dir,well_index,x_min,x_max,y_min,y_max
2020-10-08_SNV_E200K,2020-10-08,E200K,M06,H02,E200K_0.05,0.05,53456,86,53370,0.066895942,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/layout_xlsx/2020-10-08_SNV_E200K_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/analysis_csv/2020-10-08_SNV_E200K_lod_analysis.csv,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/archive_contents,28,-500,11000,0,29500
2021-01-25_SNV_P102L,2021-01-25,P102L,M01,A01,NTC,NTC,29652,0,29652,NA,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/layout_xlsx/2021-01-25_SNV_P102L_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/analysis_csv/2021-01-25_SNV_P102L_lod_analysis.csv,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/archive_contents,29,0,9000,0,12000
2021-01-25_SNV_P102L,2021-01-25,P102L,M01,A02,NTC,NTC,29652,0,29652,NA,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/layout_xlsx/2021-01-25_SNV_P102L_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/analysis_csv/2021-01-25_SNV_P102L_lod_analysis.csv,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/archive_contents,30,0,9000,0,12000
2021-01-25_SNV_P102L,2021-01-25,P102L,M02,B01,WT-high,WT,22130,23,22107,0.066005597,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/layout_xlsx/2021-01-25_SNV_P102L_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/analysis_csv/2021-01-25_SNV_P102L_lod_analysis.csv,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/archive_contents,31,0,9000,0,12000
2021-01-25_SNV_P102L,2021-01-25,P102L,M02,B02,WT-high,WT,22130,23,22107,0.066005597,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/layout_xlsx/2021-01-25_SNV_P102L_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/analysis_csv/2021-01-25_SNV_P102L_lod_analysis.csv,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/archive_contents,32,0,9000,0,12000
2021-01-25_SNV_P102L,2021-01-25,P102L,M03,C01,P102L-mut_1,1,27914,643,27271,1.419062787,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/layout_xlsx/2021-01-25_SNV_P102L_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/analysis_csv/2021-01-25_SNV_P102L_lod_analysis.csv,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/archive_contents,33,0,9000,0,12000
2021-01-25_SNV_P102L,2021-01-25,P102L,M03,C02,P102L-mut_1,1,27914,643,27271,1.419062787,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/layout_xlsx/2021-01-25_SNV_P102L_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/analysis_csv/2021-01-25_SNV_P102L_lod_analysis.csv,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/archive_contents,34,0,9000,0,12000
2021-01-25_SNV_P102L,2021-01-25,P102L,M04,D01,P102L-mut_0.33,0.33,28280,257,28023,0.486913379,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/layout_xlsx/2021-01-25_SNV_P102L_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/analysis_csv/2021-01-25_SNV_P102L_lod_analysis.csv,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/archive_contents,35,0,9000,0,12000
2021-01-25_SNV_P102L,2021-01-25,P102L,M04,D02,P102L-mut_0.33,0.33,28280,257,28023,0.486913379,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/layout_xlsx/2021-01-25_SNV_P102L_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/analysis_csv/2021-01-25_SNV_P102L_lod_analysis.csv,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/archive_contents,36,0,9000,0,12000
2021-01-25_SNV_P102L,2021-01-25,P102L,M05,E01,P102L-mut_0.1,0.1,58993,174,58819,0.182124002,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/layout_xlsx/2021-01-25_SNV_P102L_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/analysis_csv/2021-01-25_SNV_P102L_lod_analysis.csv,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/archive_contents,37,0,9000,0,12000
2021-01-25_SNV_P102L,2021-01-25,P102L,M05,E02,P102L-mut_0.1,0.1,58993,174,58819,0.182124002,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/layout_xlsx/2021-01-25_SNV_P102L_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/analysis_csv/2021-01-25_SNV_P102L_lod_analysis.csv,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/archive_contents,38,0,9000,0,12000
2021-01-25_SNV_P102L,2021-01-25,P102L,M05,F01,P102L-mut_0.1,0.1,58993,174,58819,0.182124002,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/layout_xlsx/2021-01-25_SNV_P102L_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/analysis_csv/2021-01-25_SNV_P102L_lod_analysis.csv,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/archive_contents,39,0,9000,0,12000
2021-01-25_SNV_P102L,2021-01-25,P102L,M05,F02,P102L-mut_0.1,0.1,58993,174,58819,0.182124002,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/layout_xlsx/2021-01-25_SNV_P102L_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/analysis_csv/2021-01-25_SNV_P102L_lod_analysis.csv,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/archive_contents,40,0,9000,0,12000
2021-01-25_SNV_P102L,2021-01-25,P102L,M06,G01,P102L-mut_0.05,0.05,59896,139,59757,0.126892705,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/layout_xlsx/2021-01-25_SNV_P102L_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/analysis_csv/2021-01-25_SNV_P102L_lod_analysis.csv,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/archive_contents,41,0,9000,0,12000
2021-01-25_SNV_P102L,2021-01-25,P102L,M06,G02,P102L-mut_0.05,0.05,59896,139,59757,0.126892705,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/layout_xlsx/2021-01-25_SNV_P102L_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/analysis_csv/2021-01-25_SNV_P102L_lod_analysis.csv,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/archive_contents,42,0,9000,0,12000
2021-01-25_SNV_P102L,2021-01-25,P102L,M06,H01,P102L-mut_0.05,0.05,59896,139,59757,0.126892705,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/layout_xlsx/2021-01-25_SNV_P102L_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/analysis_csv/2021-01-25_SNV_P102L_lod_analysis.csv,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/archive_contents,43,0,9000,0,12000
2021-01-25_SNV_P102L,2021-01-25,P102L,M06,H02,P102L-mut_0.05,0.05,59896,139,59757,0.126892705,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/layout_xlsx/2021-01-25_SNV_P102L_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/analysis_csv/2021-01-25_SNV_P102L_lod_analysis.csv,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/p102l/archive_contents,44,0,9000,0,12000
