package,assay,run_id,path,files,rows,template_path,sample_table_path,reference_well,reference_file,reference_sample_type,well,channel
ddPCRclust,D178N,2021-02-17_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/D178N/2021-02-17_SNV_D178N,18,256932,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/D178N/2021-02-17_SNV_D178N/ddPCR_run_template.csv,NA,NA,NA,NA,NA,NA
ddPCRclust,D178N,2021-03-29_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/D178N/2021-03-29_SNV_D178N,24,358427,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/D178N/2021-03-29_SNV_D178N/ddPCR_run_template.csv,NA,NA,NA,NA,NA,NA
ddPCRclust,D178N,2021-04-06_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/D178N/2021-04-06_SNV_D178N,24,323218,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/D178N/2021-04-06_SNV_D178N/ddPCR_run_template.csv,NA,NA,NA,NA,NA,NA
ddPCRclust,D178N,2021-05-10_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/D178N/2021-05-10_SNV_D178N,25,367920,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/D178N/2021-05-10_SNV_D178N/ddPCR_run_template.csv,NA,NA,NA,NA,NA,NA
ddPCRclust,D178N,2021-05-20_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/D178N/2021-05-20_SNV_D178N,29,459434,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/D178N/2021-05-20_SNV_D178N/ddPCR_run_template.csv,NA,NA,NA,NA,NA,NA
ddPCRclust,D178N,2021-10-14_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/D178N/2021-10-14_SNV_D178N,6,67443,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/D178N/2021-10-14_SNV_D178N/ddPCR_run_template.csv,NA,NA,NA,NA,NA,NA
ddPCRclust,E200K,2020-10-12_SNV_E200K,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/E200K/2020-10-12_SNV_E200K,7,85776,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/E200K/2020-10-12_SNV_E200K/ddPCR_run_template.csv,NA,NA,NA,NA,NA,NA
ddPCRclust,E200K,2020-10-15_SNV_E200K,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/E200K/2020-10-15_SNV_E200K,25,295022,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/E200K/2020-10-15_SNV_E200K/ddPCR_run_template.csv,NA,NA,NA,NA,NA,NA
ddPCRclust,E200K,2020-10-22_SNV_E200K,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/E200K/2020-10-22_SNV_E200K,21,297770,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/E200K/2020-10-22_SNV_E200K/ddPCR_run_template.csv,NA,NA,NA,NA,NA,NA
ddPCRclust,E200K,2020-10-29_SNV_E200K,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/E200K/2020-10-29_SNV_E200K,28,347046,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/E200K/2020-10-29_SNV_E200K/ddPCR_run_template.csv,NA,NA,NA,NA,NA,NA
ddPCRclust,E200K,2020-11-05_SNV_E200K,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/E200K/2020-11-05_SNV_E200K,22,358507,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/E200K/2020-11-05_SNV_E200K/ddPCR_run_template.csv,NA,NA,NA,NA,NA,NA
ddPCRclust,E200K,2020-11-24_SNV_E200K,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/E200K/2020-11-24_SNV_E200K,11,167484,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/E200K/2020-11-24_SNV_E200K/ddPCR_run_template.csv,NA,NA,NA,NA,NA,NA
ddPCRclust,E200K,2021-01-26_SNV_E200K,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/E200K/2021-01-26_SNV_E200K,23,294064,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/E200K/2021-01-26_SNV_E200K/ddPCR_run_template.csv,NA,NA,NA,NA,NA,NA
ddPCRclust,E200K,2021-02-17_SNV_E200K,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/E200K/2021-02-17_SNV_E200K,18,273619,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/E200K/2021-02-17_SNV_E200K/ddPCR_run_template.csv,NA,NA,NA,NA,NA,NA
ddPCRclust,E200K,2021-02-18_SNV_E200K,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/E200K/2021-02-18_SNV_E200K,21,309385,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/E200K/2021-02-18_SNV_E200K/ddPCR_run_template.csv,NA,NA,NA,NA,NA,NA
ddPCRclust,E200K,2021-03-29_SNV_E200K,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/E200K/2021-03-29_SNV_E200K,32,508478,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/E200K/2021-03-29_SNV_E200K/ddPCR_run_template.csv,NA,NA,NA,NA,NA,NA
ddPCRclust,E200K,2021-04-06_SNV_E200K,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/E200K/2021-04-06_SNV_E200K,17,238550,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/E200K/2021-04-06_SNV_E200K/ddPCR_run_template.csv,NA,NA,NA,NA,NA,NA
ddPCRclust,E200K,2021-05-10_SNV_E200K,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/E200K/2021-05-10_SNV_E200K,36,555578,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/E200K/2021-05-10_SNV_E200K/ddPCR_run_template.csv,NA,NA,NA,NA,NA,NA
