method_id,method_variant,method_family,assay,sample,sample_type,sample_key,classification_status,classification_message,n_wells,run_dates,n_total_droplets,n_accepted_droplets,n_mut_expected,n_wt_expected,n_nn,n_wt_only,n_mut_only,n_double_positive,n_rain,n_unclassified,ref_positive,mut_positive,total,ref_negative,mut_negative,fractional_abundance,ci_low,ci_high,lambda_ref,lambda_mut,ratio,ratio_low,ratio_high,ratio_unbounded,p0_use,plate_p0_max,lob_count,lob_fa,detected_above_LoB,detected_above_LoD,is_germline_e200k
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,19-082-ce,biological_sample,19_082_ce,ok,,1,2021-05-20,15793,15793,15784,15759,4,5,30,15754,0,0,15759,15784,15793,34,9,54.882558884841195,52.22906207300238,57.69672255024519,6.1409615582538875,7.470097505533784,1.2164377572911922,1.0933229352293137,1.363883037638721,FALSE,0.9998741269889265,2021-05-20,15793,100,FALSE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,19-082-fc,biological_sample,19_082_fc,ok,,1,2021-05-20,16756,16756,16746,16447,9,1,300,16446,0,0,16447,16746,16756,309,10,65.02464324177093,62.95128910206727,67.23155326866359,3.9931704051691788,7.423926589072796,1.8591559677649834,1.6991492436941944,2.051716207969363,FALSE,0.9998741269889265,2021-05-20,16756,100,FALSE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,19-082-hip,biological_sample,19_082_hip,ok,,1,2021-05-20,17113,17113,17069,14922,27,17,2164,14905,0,0,14922,17069,17113,2191,44,74.3670036250765,73.32388554635814,75.41196594778023,2.0554803479819856,5.963404053659181,2.901221633918265,2.748671875500514,3.0670189323644674,FALSE,0.9998741269889265,2021-05-20,17113,100,FALSE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,19-082-mdb,biological_sample,19_082_mdb,ok,,1,2021-05-20,17173,17173,17160,17055,10,3,108,17052,0,0,17055,17160,17173,118,13,59.06474991311785,56.972944577421664,61.265256968668965,4.980409037518194,7.186144304522297,1.442882351708054,1.3241190692199973,1.581661634339845,FALSE,0.9998741269889265,2021-05-20,17173,100,FALSE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,19-082-th,biological_sample,19_082_th,ok,,1,2021-05-20,17603,17603,17597,17499,2,4,102,17495,0,0,17499,17597,17603,104,6,60.87503974259281,58.24267596288932,63.79444971439714,5.131433721904606,7.984065151817867,1.5559131393895245,1.3947894724079477,1.7620074604905256,FALSE,0.9998741269889265,2021-05-20,17603,100,FALSE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,20-08-hc,biological_sample,20_08_hc,ok,,1,2021-04-06,12446,12446,11968,12413,7,471,26,11942,0,0,12413,11968,12446,33,478,35.45992343594097,33.94452116338207,36.95650338797195,5.932647003662701,3.259543832637706,0.5494248740276183,0.5138789660028152,0.5862064348271099,FALSE,0.999747477536892,2021-04-06,12445,99.99196529005303,FALSE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,20-08-th,biological_sample,20_08_th,ok,,1,2021-04-06,11635,11635,11053,11414,67,515,154,10899,0,0,11414,11053,11635,221,582,43.042679611713226,41.99352634654675,44.09465845226391,3.9636103742186375,2.995302628004955,0.7557005722580467,0.7239455133478331,0.7887378420649241,FALSE,0.999747477536892,2021-04-06,11635,100,FALSE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,20-169-cau,biological_sample,20_169_cau,ok,,1,2021-05-20,15516,15516,15421,15007,1,94,508,14913,0,0,15007,15421,15516,509,95,59.8589515757531,58.71605177794514,61.00415686275207,3.417179012009336,5.0957501369593174,1.4912154496591516,1.4222489443627795,1.5643758912467853,FALSE,0.9998741269889265,2021-05-20,15516,100,FALSE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,20-169-ce,biological_sample,20_169_ce,ok,,1,2021-05-20,15301,15301,15279,15126,1,21,174,15105,0,0,15126,15279,15301,175,22,59.41282754941679,57.62881590423633,61.248435781715884,4.4708874907983,6.544631011363474,1.4638326338636842,1.3600945343889541,1.5805409927895786,FALSE,0.9998741269889265,2021-05-20,15301,100,FALSE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,20-169-fc,biological_sample,20_169_fc,ok,,1,2021-05-20,14389,14389,14377,13984,1,11,404,13973,0,0,13984,14377,14389,405,12,66.5060865195932,64.55888554693043,68.54908242872999,3.5703322376568773,7.08931265497546,1.9856170751291216,1.821581700891997,2.179557473113237,FALSE,0.9998741269889265,2021-05-20,14389,100,FALSE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,20-169-hip,biological_sample,20_169_hip,ok,,1,2021-05-20,14757,14757,14729,14390,17,11,350,14379,0,0,14390,14729,14757,367,28,62.91566791240346,61.351683817108395,64.51097780198249,3.694110977408877,6.2672683152882485,1.6965565879356,1.5874348452020497,1.8177727591938615,FALSE,0.9998741269889265,2021-05-20,14757,100,FALSE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,20-169-mdb,biological_sample,20_169_mdb,ok,,1,2021-05-20,15781,15781,15738,15370,15,28,396,15342,0,0,15370,15738,15781,411,43,61.814691618853466,60.43608836720453,63.20952741510226,3.6479687492518984,5.9053618480545556,1.6188082338330307,1.5275559436116937,1.7180950113983964,FALSE,0.9998741269889265,2021-05-20,15781,100,FALSE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,20-169-th,biological_sample,20_169_th,ok,,1,2021-05-20,15288,15288,15126,13150,129,33,2009,13117,0,0,13150,15126,15288,2138,162,69.80243794767567,68.9600919231991,70.63786248359825,1.9671973943351186,4.547227150687721,2.311525606826361,2.221659025296521,2.405746599481724,FALSE,0.9998741269889265,2021-05-20,15288,100,FALSE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,20-357-cau,biological_sample,20_357_cau,ok,,1,2021-05-20,16803,16803,16798,13215,5,0,3583,13215,0,0,13215,16798,16803,3588,5,84.02329790136463,82.46577986730817,85.70664269954351,1.5439624976992552,8.119874808443736,5.259114013807729,4.703133600652936,5.996256925362549,FALSE,0.9998741269889265,2021-05-20,16803,100,FALSE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,20-357-ce,biological_sample,20_357_ce,ok,,1,2021-05-20,17304,17304,17292,16248,9,3,1047,16245,0,0,16248,17292,17304,1056,12,72.23054600691329,70.5476274190194,73.98879366932337,2.7964495033666883,7.273786317844895,2.6010790858507806,2.395312201930272,2.8444968191292164,FALSE,0.9998741269889265,2021-05-20,17304,100,FALSE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,20-357-fc,biological_sample,20_357_fc,ok,,1,2021-05-20,16360,16360,16352,15816,4,4,540,15812,0,0,15816,16352,16360,544,8,69.13296833746462,67.04239345390341,71.37754841720839,3.4036453633007957,7.623153068476966,2.2397025115108247,2.034200916869788,2.4937608230638775,FALSE,0.9998741269889265,2021-05-20,16360,100,FALSE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,20-357-hip,biological_sample,20_357_hip,ok,,1,2021-05-20,17242,17242,17222,16639,14,6,589,16633,0,0,16639,17222,17242,603,20,66.84136224519052,65.26234774457855,68.4668699157697,3.353186350042686,6.759371273215903,2.0158054362620965,1.8787207398103067,2.1712677978013337,FALSE,0.9998741269889265,2021-05-20,17242,100,FALSE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,20-357-mdb,biological_sample,20_357_mdb,ok,,1,2021-05-20,18095,18095,18076,18052,17,2,26,18050,0,0,18052,18076,18095,43,19,53.165460419423695,51.046301988932896,55.336011562387974,6.042190820304274,6.8589519568314135,1.1351763227640017,1.042746596536848,1.2389402177927513,FALSE,0.9998741269889265,2021-05-20,18095,100,FALSE,TRUE,FALSE
