run_id,assay,well,sample,sample_type,sample_key,mean_max_posterior,median_max_posterior,mean_entropy,posterior_rowsum_min,posterior_rowsum_max,low_confidence_droplets
2020-11-05_SNV_D178N,D178N,E05,CJD17-12_bg,biological_sample,17_12_bg,0.9996900013371871,0.999897370371357,0.001660832072591347,0.9999999999999999,1.0000000000000002,6
2020-11-05_SNV_D178N,D178N,F01,NTC,NTC,ntc,0.9998932639917834,0.9999465367963125,7.226294107622266e-4,0.9999999999999999,1.0000000000000002,2
2020-11-05_SNV_D178N,D178N,F05,CJD17-12_fr,biological_sample,17_12_fr,0.9995968673101525,0.9998837935681284,0.0020155843147502805,0.9999999999999999,1.0000000000000002,9
2020-11-05_SNV_D178N,D178N,G01,WT,WT_control,wt,0.9995411746191086,0.9999047284529816,0.002072091926005894,0.9999999999999999,1.0000000000000002,12
2020-11-05_SNV_D178N,D178N,G05,CJD17-12_sn,biological_sample,17_12_sn,0.9995698227358526,0.9999066312101432,0.0019416947893217077,0.9999999999999999,1.0000000000000002,7
2020-11-05_SNV_D178N,D178N,H01,D178N-mut,positive_control,,0.996376953433117,0.999957787534421,0.012677218142434351,0.9999999999999999,1.0000000000000002,54
2020-11-24_SNV_D178N,D178N,A03,CJD17-32_bg_D178N,biological_sample,17_32_bg,0.9984910200640736,0.9997861436739791,0.005469392225777449,0.9999999999999999,1.0000000000000002,42
2020-11-24_SNV_D178N,D178N,B01,CJD17-30_fr_D178N,biological_sample,17_30_fr,0.9969507046841253,0.9997244744210221,0.010274192004952911,0.9999999999999999,1.0000000000000002,73
2020-11-24_SNV_D178N,D178N,B03,CJD17-32_th_D178N,biological_sample,17_32_th,0.9984827066128039,0.9998436121410744,0.005042331089548382,0.9999999999999999,1.0000000000000002,41
2020-11-24_SNV_D178N,D178N,B05,CJD17-15_cb_D178N,biological_sample,17_15_cb,0.9988319559346099,0.9997667954423732,0.004976984227594955,0.9999999999999999,1.0000000000000002,21
2020-11-24_SNV_D178N,D178N,B07,CJD18-5_cb_D178N,biological_sample,18_5_cb,0.9990708884503758,0.9997627022573993,0.00423701014337364,0.9999999999999999,1.0000000000000002,23
2020-11-24_SNV_D178N,D178N,C01,CJD17-30_hc_D178N,biological_sample,17_30_hc,0.9980385741177887,0.9998239051589571,0.006408150959469139,0.9999999999999999,1.0000000000000002,55
2020-11-24_SNV_D178N,D178N,C09,CJD17-34_fr_D178N,biological_sample,17_34_fr,0.9970908841028621,0.99972013458403,0.009901657318641278,0.9999999999999999,1.0000000000000002,85
2020-11-24_SNV_D178N,D178N,D01,CJD17-30_sn_D178N,biological_sample,17_30_sn,0.9983840219256787,0.9992767070196101,0.00996829767510705,0.9999999999999999,1.0000000000000002,8
2020-11-24_SNV_D178N,D178N,F01,NTC_D178N,NTC,ntc,0.9999149837841623,0.9999370325460084,7.914818866966389e-4,0.9999999999999999,1.0000000000000002,0
2020-11-24_SNV_D178N,D178N,G01,WT_D178N,WT_control,wt,0.9979684537564202,0.9997672611212453,0.006888641555519519,0.9999999999999999,1.0000000000000002,52
2020-11-24_SNV_D178N,D178N,H01,D178N_mut,positive_control,,0.9884001108563873,0.9999399971300292,0.03271145652293536,0.9999999999999999,1.0000000000000002,262
2021-01-26_SNV_D178N,D178N,A01,NTC,NTC,ntc,0.9997673724888086,0.9999173787240874,0.0013754558979652894,0.9999999999999999,1.0000000000000002,4
2021-01-26_SNV_D178N,D178N,A04,924486-th,biological_sample,924486_th,0.9915502840033399,0.99907016692451045,0.029461790138492597,0.9999999999999999,1.0000000000000002,162
2021-01-26_SNV_D178N,D178N,B01,D178N-mut,positive_control,,0.9856927525131747,0.9998048597400337,0.03884538903981123,0.9999999999999999,1.0000000000000002,379
2021-01-26_SNV_D178N,D178N,B04,953891-bg,biological_sample,953891_bg,0.9929511889863805,0.9995060402656197,0.02324784815692877,0.9999999999999999,1.0000000000000002,143
2021-01-26_SNV_D178N,D178N,B07,955427-cb,biological_sample,955427_cb,0.99776676274327325,0.9997997195626491,0.007643338194033422,0.9999999999999999,1.0000000000000002,59
2021-01-26_SNV_D178N,D178N,C01,WT,WT_control,wt,0.9929084027840251,0.999600509845702,0.020934178924142274,0.9999999999999999,1.0000000000000002,157
2021-01-26_SNV_D178N,D178N,C04,953891-cb,biological_sample,953891_cb,0.9945432941369614,0.9995225332007355,0.018173662170698577,0.9999999999999999,1.0000000000000002,116
2021-01-26_SNV_D178N,D178N,C07,955427-fr,biological_sample,955427_fr,0.9970825586872576,0.9997835329349207,0.009596675153642648,0.9999999999999999,1.0000000000000002,82
2021-01-26_SNV_D178N,D178N,D01,924486-bg,biological_sample,924486_bg,0.988583883526048,0.9990034311625057,0.03986026766397905,0.9999999999999999,1.0000000000000002,228
2021-01-26_SNV_D178N,D178N,D04,953891-fr,biological_sample,953891_fr,0.9920884316856154,0.9993958109048846,0.02813431613884668,0.9999999999999999,1.0000000000000002,173
2021-01-26_SNV_D178N,D178N,D07,955427-hc,biological_sample,955427_hc,0.9984437852199082,0.9998701284489095,0.005103196212638557,0.9999999999999999,1.0000000000000002,40
2021-01-26_SNV_D178N,D178N,E01,924486-cb,biological_sample,924486_cb,0.9897880259854407,0.9991591869090358,0.03685089135442196,0.9999999999999999,1.0000000000000002,185
2021-01-26_SNV_D178N,D178N,E04,953891-hc,biological_sample,953891_hc,0.9927390000003377,0.9995154299703005,0.025845174532183268,0.9999999999999999,1.0000000000000002,138
2021-01-26_SNV_D178N,D178N,E07,955427-sn,biological_sample,955427_sn,0.9980324638328193,0.9998237249030504,0.006669353969239951,0.9999999999999999,1.0000000000000002,50
2021-01-26_SNV_D178N,D178N,F01,924486-fr,biological_sample,924486_fr,0.9926982216808256,0.9994886809227932,0.02393933421826724,0.9999999999999999,1.0000000000000002,172
2021-01-26_SNV_D178N,D178N,F04,953891-sn,biological_sample,953891_sn,0.9950771456604878,0.9997268097131506,0.015081814149939587,0.9999999999999999,1.0000000000000002,115
2021-01-26_SNV_D178N,D178N,F07,955427-th,biological_sample,955427_th,0.9972578041001409,0.9996883631454558,0.009739729943501873,0.9999999999999999,1.0000000000000002,79
2021-01-26_SNV_D178N,D178N,G01,924486-hc,biological_sample,924486_hc,0.9881852930427959,0.9994033659279907,0.040531662684480226,0.9999999999999999,1.0000000000000002,218
2021-01-26_SNV_D178N,D178N,G04,953891-th,biological_sample,953891_th,0.992856350584626,0.9990212380520347,0.026236766657500826,0.9999999999999999,1.0000000000000002,151
2021-01-26_SNV_D178N,D178N,G07,929474-bg,biological_sample,929474_bg,0.9976449452318975,0.9998112359088565,0.007784750724801874,0.9999999999999999,1.0000000000000002,68
2021-01-26_SNV_D178N,D178N,H01,924486-sn,biological_sample,924486_sn,0.9835292901085845,0.9989533344461413,0.05681577815554169,0.9999999999999999,1.0000000000000002,269
2021-01-26_SNV_D178N,D178N,H04,18-5-th,biological_sample,18_5_th,0.9911355252461045,0.9995675654316177,0.026152914578540316,0.9999999999999999,1.0000000000000002,249
2021-01-26_SNV_D178N,D178N,H07,929474-cb,biological_sample,929474_cb,0.9966726971481169,0.9996638860718232,0.011497525561443274,0.9999999999999999,1.0000000000000002,78
2021-02-17_SNV_D178N,D178N,A01,NTC,NTC,ntc,0.9998871544799169,0.9999537599837625,6.898207299714638e-4,0.9999999999999999,1.0000000000000002,1
2021-02-17_SNV_D178N,D178N,A04,CJD-933892-hc,biological_sample,933892_hc,0.9986890123707709,0.9998779483236628,0.004358582578621358,0.9999999999999999,1.0000000000000002,37
2021-02-17_SNV_D178N,D178N,A07,D178N-mut,positive_control,,0.9726093057342012,0.9999168808329302,0.07107749009210634,0.9999999999999999,1.0000000000000002,1011
2021-02-17_SNV_D178N,D178N,B01,WT,WT_control,wt,0.9975295788160999,0.99989381812904,0.006957523533663839,0.9999999999999999,1.0000000000000002,66
2021-02-17_SNV_D178N,D178N,B04,CJD-933892-sn,biological_sample,933892_sn,0.9956569272149521,0.9998752994247468,0.011938602276076458,0.9999999999999999,1.0000000000000002,144
2021-02-17_SNV_D178N,D178N,B07,CJD-18-24-th,biological_sample,18_24_th,0.9989622871941415,0.9999042585982595,0.0033794685156855993,0.9999999999999999,1.0000000000000002,30
2021-02-17_SNV_D178N,D178N,C01,CJD-943497-hc,biological_sample,943497_hc,0.9987507697362112,0.9997802520194194,0.005196560590070441,0.9999999999999999,1.0000000000000002,29
2021-02-17_SNV_D178N,D178N,C04,CJD-933892-th,biological_sample,933892_th,0.9988624000611727,0.9999073395762508,0.0034757072973083973,0.9999999999999999,1.0000000000000002,38
