method_id,method_variant,assay,run_id,status,message,elapsed_seconds,output_excerpt,method_parameters_json
ddPCRclust_template_fast,"native template workflow, fast density mode",D178N,2020-10-12_SNV_D178N,ok,NA,2.179000000000002,"[1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly""","{""mode"":""fast"",""numOfMarkers"":2,""multithread"":false}"
ddPCRclust_template_fast,"native template workflow, fast density mode",D178N,2020-10-15_SNV_D178N,ok,NA,14.05400000000003,"[1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly""","{""mode"":""fast"",""numOfMarkers"":2,""multithread"":false}"
ddPCRclust_template_fast,"native template workflow, fast density mode",D178N,2020-10-22_SNV_D178N,ok,NA,9.52800000000002,"[1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly""","{""mode"":""fast"",""numOfMarkers"":2,""multithread"":false}"
ddPCRclust_template_fast,"native template workflow, fast density mode",D178N,2020-10-29_SNV_D178N,ok,NA,13.452999999999975,"[1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly""","{""mode"":""fast"",""numOfMarkers"":2,""multithread"":false}"
ddPCRclust_template_fast,"native template workflow, fast density mode",D178N,2020-11-05_SNV_D178N,ok,NA,7.135999999999967,"<simpleError in density.default(flowCore::exprs(f_onlyNeg)[, 1], width = 1000): non-finite 'from'> | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point.""","{""mode"":""fast"",""numOfMarkers"":2,""multithread"":false}"
ddPCRclust_template_fast,"native template workflow, fast density mode",D178N,2020-11-24_SNV_D178N,ok,NA,2.578999999999951,"[1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | <simpleError in density.default(flowCore::exprs(f_onlyNeg)[, 1], width = 1000): non-finite 'from'> | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point.""","{""mode"":""fast"",""numOfMarkers"":2,""multithread"":false}"
ddPCRclust_template_fast,"native template workflow, fast density mode",D178N,2021-01-26_SNV_D178N,ok,NA,13.120999999999867,"[1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly""","{""mode"":""fast"",""numOfMarkers"":2,""multithread"":false}"
ddPCRclust_template_fast,"native template workflow, fast density mode",D178N,2021-02-17_SNV_D178N,ok,NA,3.625,"<simpleError in density.default(flowCore::exprs(f_onlyNeg)[, 1], width = 1000): non-finite 'from'> | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | <simpleError in flowCore::`exprs<-`(`*tmp*`, value = flowCore::exprs(f_onlyNeg)[-indices,     ]): Replacement value for the 'exprs' slot of a 'flowFrame' object must be  |   a numeric matrix with colnames matching at least a subset of the orginal","{""mode"":""fast"",""numOfMarkers"":2,""multithread"":false}"
ddPCRclust_template_fast,"native template workflow, fast density mode",D178N,2021-03-29_SNV_D178N,ok,NA,7.447999999999865,"[1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly""","{""mode"":""fast"",""numOfMarkers"":2,""multithread"":false}"
ddPCRclust_template_fast,"native template workflow, fast density mode",D178N,2021-04-06_SNV_D178N,ok,NA,5.06899999999996,"<simpleError in flowCore::`exprs<-`(`*tmp*`, value = flowCore::exprs(f_onlyNeg)[-indices,     ]): Replacement value for the 'exprs' slot of a 'flowFrame' object must be  |   a numeric matrix with colnames matching at least a subset of the orginal |   columns.> | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | [1] ""Only one peak is found, set standard deviation, percentile, or upper arguments accordingly"" | [1] ""Cutoff is based on inflection point."" | <simpleError in flowCore::`exprs<-`(`*tmp*`, value = flowCore::exprs(f_onlyNeg)[-indices,     ]): Replacement value for the 'exprs' slot of a 'flowFrame' object must be  |   a numeric matrix with colnames matching at least a subset of the orginal |   columns.> | <simpleError in flowCore::`exprs<-`(`*tmp*`, value = flowCore::exprs(f_onlyNeg)[-indices,     ]): Replacement value for the 'exprs' slot of a 'flowFrame' object must be ","{""mode"":""fast"",""numOfMarkers"":2,""multithread"":false}"
