method_id,assay,channel,channel_role,status,message,negative_mean,negative_sd,positive_mean,positive_sd,negative_upper,positive_lower,rain_band_overlap,run_id,threshold_interval,reps,threshold,elapsed_seconds
ddpcRquant_0995,P102L,ch2,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-20_SNV_P102L,0.995,10,9365,3.0190000000000055
ddpcRquant_0995,P102L,ch1,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-10-14_SNV_P102L,0.995,10,6861,3.0539999999999736
ddpcRquant_0995,P102L,ch2,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-10-14_SNV_P102L,0.995,10,9365,2.9950000000000045
ddpcRquant_0999,D178N,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-12_SNV_D178N,0.999,10,6271.5,0.5530000000000115
ddpcRquant_0999,D178N,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-12_SNV_D178N,0.999,10,1163.5,0.49500000000000455
ddpcRquant_0999,D178N,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-15_SNV_D178N,0.999,10,6271.5,0.5250000000000057
ddpcRquant_0999,D178N,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-15_SNV_D178N,0.999,10,1163.5,0.5420000000000016
ddpcRquant_0999,D178N,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-22_SNV_D178N,0.999,10,6271.5,0.5869999999999891
ddpcRquant_0999,D178N,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-22_SNV_D178N,0.999,10,1163.5,0.5330000000000013
ddpcRquant_0999,D178N,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-29_SNV_D178N,0.999,10,6272,0.6280000000000001
ddpcRquant_0999,D178N,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-29_SNV_D178N,0.999,10,1163.5,0.5069999999999908
ddpcRquant_0999,D178N,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-05_SNV_D178N,0.999,10,6272,0.5
ddpcRquant_0999,D178N,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-05_SNV_D178N,0.999,10,1163.5,0.5180000000000007
ddpcRquant_0999,D178N,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-24_SNV_D178N,0.999,10,6271.5,0.5230000000000246
ddpcRquant_0999,D178N,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-24_SNV_D178N,0.999,10,1163.5,0.5040000000000191
ddpcRquant_0999,D178N,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-26_SNV_D178N,0.999,10,6272,0.5929999999999893
ddpcRquant_0999,D178N,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-26_SNV_D178N,0.999,10,1163.5,0.5380000000000109
ddpcRquant_0999,D178N,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-02-17_SNV_D178N,0.999,10,6271.5,0.5109999999999957
ddpcRquant_0999,D178N,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-02-17_SNV_D178N,0.999,10,1163.5,0.5480000000000018
ddpcRquant_0999,D178N,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-29_SNV_D178N,0.999,10,6271.5,0.5229999999999961
ddpcRquant_0999,D178N,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-29_SNV_D178N,0.999,10,1162.5,0.5360000000000014
ddpcRquant_0999,D178N,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-04-06_SNV_D178N,0.999,10,6271.5,0.4969999999999857
ddpcRquant_0999,D178N,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-04-06_SNV_D178N,0.999,10,1163.5,0.5740000000000123
