assay,target_class,vertex_order,gate_source,n_control_points,n_trimmed_points,min_hull_points,polygon_expansion,ch1_amplitude,ch2_amplitude
D178N,MUT,11,control_convex_hull_mahalanobis_trimmed,23699,23580,30,1.03,229.80069518999994,5034.772360100001
D178N,MUT,12,control_convex_hull_mahalanobis_trimmed,23699,23580,30,1.03,542.1923121499999,7464.09671
D178N,MUT,13,control_convex_hull_mahalanobis_trimmed,23699,23580,30,1.03,703.69160711,8029.63057
D178N,MUT,14,control_convex_hull_mahalanobis_trimmed,23699,23580,30,1.03,928.7438817300001,8817.072779999999
D178N,MUT,15,control_convex_hull_mahalanobis_trimmed,23699,23580,30,1.03,1372.72467721,8483.809070000001
D178N,MUT,16,control_convex_hull_mahalanobis_trimmed,23699,23580,30,1.03,2153.84061691,6949.5740429
D178N,MUT,17,control_convex_hull_mahalanobis_trimmed,23699,23580,30,1.03,2361.08675211,6178.37758
D178N,DP,1,control_convex_hull_mahalanobis_trimmed,10387,10335,30,1.03,8598.521060000001,2975.3095250999995
D178N,DP,2,control_convex_hull_mahalanobis_trimmed,10387,10335,30,1.03,7306.0855986999995,2010.2354824
D178N,DP,3,control_convex_hull_mahalanobis_trimmed,10387,10335,30,1.03,6634.6602299999995,1850.0037177999998
D178N,DP,4,control_convex_hull_mahalanobis_trimmed,10387,10335,30,1.03,3484.2849363,2008.106081
D178N,DP,5,control_convex_hull_mahalanobis_trimmed,10387,10335,30,1.03,2847.8925455999997,2212.307598
D178N,DP,6,control_convex_hull_mahalanobis_trimmed,10387,10335,30,1.03,2459.0099582999997,2392.4104933999997
D178N,DP,7,control_convex_hull_mahalanobis_trimmed,10387,10335,30,1.03,2315.22854,2470.0359283999996
D178N,DP,8,control_convex_hull_mahalanobis_trimmed,10387,10335,30,1.03,1231.9045233000002,3302.4522232
D178N,DP,9,control_convex_hull_mahalanobis_trimmed,10387,10335,30,1.03,1087.0106020000003,3529.3016583
D178N,DP,10,control_convex_hull_mahalanobis_trimmed,10387,10335,30,1.03,934.0950819,4022.0411232
D178N,DP,11,control_convex_hull_mahalanobis_trimmed,10387,10335,30,1.03,911.51467,4401.8213018
D178N,DP,12,control_convex_hull_mahalanobis_trimmed,10387,10335,30,1.03,1674.57575,5255.3878432
D178N,DP,13,control_convex_hull_mahalanobis_trimmed,10387,10335,30,1.03,1726.8738352,5285.095103199999
D178N,DP,14,control_convex_hull_mahalanobis_trimmed,10387,10335,30,1.03,4079.1910900000003,6462.1657132
D178N,DP,15,control_convex_hull_mahalanobis_trimmed,10387,10335,30,1.03,5674.0516081,6422.3809332
D178N,DP,16,control_convex_hull_mahalanobis_trimmed,10387,10335,30,1.03,6586.5989159,6239.6390335999995
D178N,DP,17,control_convex_hull_mahalanobis_trimmed,10387,10335,30,1.03,7158.8936753,5975.830283599999
