run_id,assay,well,sample,sample_type,sample_key,run_date,source_peak_data_json,source_peak_metadata_json,method_id,method_variant,n_total_droplets,n_accepted_droplets,n_nn,n_wt_only,n_mut_only,n_double_positive,n_rain,n_unclassified,n_mut_expected,n_wt_expected,classification_status,classification_message,method_parameters_json
2021-02-17_SNV_D178N,D178N,E01,CJD-943497-th,biological_sample,943497_th,2021-02-17,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-02-17/SNV_D178N/PeakData/E01.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-02-17/SNV_D178N/PeakMetaData/E01.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,12983,12981,1358,11617,0,6,2,0,6,11623,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2021-02-17_SNV_D178N,D178N,E04,CJD-18-31-th,biological_sample,18_31_th,2021-02-17,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-02-17/SNV_D178N/PeakData/E04.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-02-17/SNV_D178N/PeakMetaData/E04.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,16204,16197,2066,14125,1,5,7,0,6,14130,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2021-02-17_SNV_D178N,D178N,F04,CJD-17-30-bg,biological_sample,17_30_bg,2021-02-17,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-02-17/SNV_D178N/PeakData/F04.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-02-17/SNV_D178N/PeakMetaData/F04.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,15831,15830,150,15670,0,10,1,0,10,15680,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2021-02-17_SNV_D178N,D178N,G01,CJD-933892-cb,biological_sample,933892_cb,2021-02-17,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-02-17/SNV_D178N/PeakData/G01.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-02-17/SNV_D178N/PeakMetaData/G01.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,12525,12524,608,11908,1,7,1,0,8,11915,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2021-02-17_SNV_D178N,D178N,G04,CJD-17-30-cb,biological_sample,17_30_cb,2021-02-17,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-02-17/SNV_D178N/PeakData/G04.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-02-17/SNV_D178N/PeakMetaData/G04.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,16218,16216,1570,14639,1,6,2,0,7,14645,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2021-02-17_SNV_D178N,D178N,H01,CJD-933892-fr,biological_sample,933892_fr,2021-02-17,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-02-17/SNV_D178N/PeakData/H01.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-02-17/SNV_D178N/PeakMetaData/H01.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,11727,11723,243,11471,0,9,4,0,9,11480,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2021-02-17_SNV_D178N,D178N,H04,CJD-17-31-cb,biological_sample,17_31_cb,2021-02-17,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-02-17/SNV_D178N/PeakData/H04.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-02-17/SNV_D178N/PeakMetaData/H04.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,16219,16213,1659,14546,0,8,6,0,8,14554,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2021-03-29_SNV_D178N,D178N,A01,NTC,NTC,ntc,2021-03-29,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-03-29/SNV_D178N/PeakData/A01.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-03-29/SNV_D178N/PeakMetaData/A01.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,13056,13052,12023,1024,2,3,4,0,5,1027,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2021-03-29_SNV_D178N,D178N,A04,17-11-sn,biological_sample,17_11_sn,2021-03-29,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-03-29/SNV_D178N/PeakData/A04.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-03-29/SNV_D178N/PeakMetaData/A04.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,16713,16698,43,16640,0,15,15,0,15,16655,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2021-03-29_SNV_D178N,D178N,A07,17-8-sn,biological_sample,17_8_sn,2021-03-29,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-03-29/SNV_D178N/PeakData/A07.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-03-29/SNV_D178N/PeakMetaData/A07.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,15353,15348,291,15042,0,15,5,0,15,15057,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2021-03-29_SNV_D178N,D178N,B01,WT,WT_control,wt,2021-03-29,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-03-29/SNV_D178N/PeakData/B01.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-03-29/SNV_D178N/PeakMetaData/B01.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,13984,13966,1932,12029,0,5,18,0,5,12034,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2021-03-29_SNV_D178N,D178N,B04,17-11-th,biological_sample,17_11_th,2021-03-29,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-03-29/SNV_D178N/PeakData/B04.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-03-29/SNV_D178N/PeakMetaData/B04.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,15499,15488,250,15220,0,18,11,0,18,15238,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
